Date,Open,High,Low,Close,Adj Close,Volume
2020-06-26,436.0,438.17999267578125,424.7099914550781,426.9200134277344,426.9200134277344,3829700
2020-06-29,427.1099853515625,428.4800109863281,416.0299987792969,424.20001220703125,424.20001220703125,2623900
2020-06-30,426.67999267578125,436.9100036621094,423.8599853515625,435.30999755859375,435.30999755859375,2944700
2020-07-01,434.79998779296875,442.04998779296875,433.6199951171875,439.80999755859375,439.80999755859375,2581700
2020-07-02,445.0,448.1600036621094,441.3599853515625,442.95001220703125,442.95001220703125,2503000
2020-07-06,448.0,455.5299987792969,444.69000244140625,452.5899963378906,452.5899963378906,2761200
2020-07-07,452.5899963378906,459.44000244140625,448.7200012207031,449.3599853515625,449.3599853515625,2684600
2020-07-08,453.760009765625,458.239990234375,452.0,457.67999267578125,457.67999267578125,1999200
2020-07-09,460.44000244140625,463.79998779296875,451.8800048828125,460.8399963378906,460.8399963378906,2269800
2020-07-10,460.8299865722656,467.2099914550781,455.4800109863281,466.20001220703125,466.20001220703125,3676200
2020-07-13,469.7699890136719,470.6099853515625,440.6400146484375,442.4700012207031,442.4700012207031,3480700
2020-07-14,435.739990234375,437.2099914550781,416.2900085449219,433.7799987792969,433.7799987792969,5666700
2020-07-15,434.9100036621094,439.6300048828125,428.7300109863281,433.010009765625,433.010009765625,2566200
2020-07-16,428.42999267578125,430.5899963378906,418.510009765625,426.2900085449219,426.2900085449219,2677700
2020-07-17,428.1199951171875,433.5,423.70001220703125,432.4200134277344,432.4200134277344,2568200
2020-07-20,434.05999755859375,456.8900146484375,433.0,455.2699890136719,455.2699890136719,3512500
2020-07-21,456.07000732421875,456.989990234375,441.75,444.2799987792969,444.2799987792969,2027600
2020-07-22,447.54998779296875,449.3699951171875,441.760009765625,445.04998779296875,445.04998779296875,1400300
2020-07-23,445.0400085449219,448.80999755859375,430.29998779296875,431.739990234375,431.739990234375,2313900
2020-07-24,425.0,435.0,423.44000244140625,430.30999755859375,430.30999755859375,1900800
2020-07-27,431.7699890136719,438.3599853515625,431.010009765625,437.1000061035156,437.1000061035156,1622000
2020-07-28,436.8299865722656,438.260009765625,431.3299865722656,432.260009765625,432.260009765625,1463400
2020-07-29,435.1600036621094,440.4800109863281,435.0400085449219,436.29998779296875,436.29998779296875,1489300
2020-07-30,429.9800109863281,440.5,426.80999755859375,438.8800048828125,438.8800048828125,1449000
2020-07-31,441.9800109863281,444.44000244140625,434.79998779296875,444.32000732421875,444.32000732421875,2035300
2020-08-03,449.8399963378906,450.739990234375,442.2799987792969,447.9700012207031,447.9700012207031,2075200
2020-08-04,448.260009765625,449.0799865722656,440.70001220703125,446.9200134277344,446.9200134277344,2622600
2020-08-05,449.0899963378906,454.0400085449219,446.3500061035156,449.510009765625,449.510009765625,2353100
2020-08-06,451.3500061035156,464.3699951171875,449.1300048828125,464.1099853515625,464.1099853515625,2362000
2020-08-07,460.8699951171875,461.7900085449219,445.0899963378906,449.57000732421875,449.57000732421875,3288300
2020-08-10,450.3699951171875,451.1300048828125,436.5,443.2900085449219,443.2900085449219,1836800
2020-08-11,440.260009765625,444.4800109863281,431.5899963378906,435.2300109863281,435.2300109863281,1900200
2020-08-12,437.3699951171875,447.92999267578125,437.3699951171875,445.3599853515625,445.3599853515625,2224400
2020-08-13,446.07000732421875,455.8999938964844,446.07000732421875,450.0199890136719,450.0199890136719,2028000
2020-08-14,451.3900146484375,452.80999755859375,444.42999267578125,447.6000061035156,447.6000061035156,1111000
2020-08-17,450.0,456.1000061035156,449.20001220703125,451.5799865722656,451.5799865722656,1555700
2020-08-18,454.7900085449219,464.5,452.8399963378906,463.510009765625,463.510009765625,2097700
2020-08-19,464.2900085449219,468.1099853515625,457.5899963378906,462.010009765625,462.010009765625,2439200
2020-08-20,460.989990234375,479.79998779296875,458.8900146484375,478.4800109863281,478.4800109863281,2485000
2020-08-21,477.0899963378906,477.2799987792969,470.3399963378906,473.2200012207031,473.2200012207031,2645600
2020-08-24,478.1400146484375,480.0199890136719,469.5199890136719,476.29998779296875,476.29998779296875,1840500
2020-08-25,476.6700134277344,484.6499938964844,474.42999267578125,484.42999267578125,484.42999267578125,3967400
2020-08-26,496.95001220703125,533.7000122070312,492.2300109863281,528.489990234375,528.489990234375,7780300
2020-08-27,519.010009765625,523.3200073242188,504.4599914550781,510.32000732421875,510.32000732421875,3631800
2020-08-28,512.3300170898438,518.7999877929688,510.94000244140625,516.4400024414062,516.4400024414062,1926300
2020-08-31,513.8599853515625,516.72998046875,507.7699890136719,513.3900146484375,513.3900146484375,2346700
2020-09-01,515.0,528.5399780273438,514.47998046875,527.9500122070312,527.9500122070312,2422100
2020-09-02,536.25,536.8800048828125,521.4099731445312,533.7999877929688,533.7999877929688,2782500
